index,deltaTTCP,scenario,strategy
0,-2.8969169572559226,Scenario10,A
1,-2.8641456963490173,Scenario10,A
2,-2.8317480235533727,Scenario10,A
3,-2.8027412453269234,Scenario10,A
4,-2.7754777173402845,Scenario10,A
5,-2.7491588816999535,Scenario10,A
6,-2.7230956415649357,Scenario10,A
7,-2.6972933356145163,Scenario10,A
8,-2.6716767686300336,Scenario10,A
9,-2.6463386091246144,Scenario10,A
10,-2.621450901335336,Scenario10,A
11,-2.5968593508713633,Scenario10,A
12,-2.5727301064934074,Scenario10,A
13,-2.5493046367310077,Scenario10,A
14,-2.5259678597788007,Scenario10,A
15,-2.5032639907230836,Scenario10,A
16,-2.4807535005256076,Scenario10,A
17,-2.4588146063177962,Scenario10,A
18,-2.437167351422581,Scenario10,A
19,-2.4160346495741587,Scenario10,A
20,-2.395290123036659,Scenario10,A
21,-2.3755175260501558,Scenario10,A
22,-2.3562967179903334,Scenario10,A
23,-2.3383241174342935,Scenario10,A
24,-2.3221803323886756,Scenario10,A
25,-2.306007312405694,Scenario10,A
26,-2.290718116666419,Scenario10,A
27,-2.2764103952571895,Scenario10,A
28,-2.2627297222563714,Scenario10,A
29,-2.2502681566489873,Scenario10,A
30,-2.2387748867608317,Scenario10,A
31,-2.2277418630598538,Scenario10,A
32,-2.2175571694181606,Scenario10,A
33,-2.2081587549945434,Scenario10,A
34,-2.1994955027597753,Scenario10,A
35,-2.191637169119236,Scenario10,A
36,-2.184571703134596,Scenario10,A
37,-2.1782109745732745,Scenario10,A
38,-2.172619042055797,Scenario10,A
39,-2.167499364213741,Scenario10,A
40,-2.1632030258352235,Scenario10,A
41,-2.1597045906305627,Scenario10,A
42,-2.1568443717976895,Scenario10,A
43,-2.1553728886350547,Scenario10,A
44,-2.1632166798879537,Scenario10,A
45,-2.180075312113108,Scenario10,A
46,-2.201118288843709,Scenario10,A
47,-2.221564321399385,Scenario10,A
48,-2.2394424365364953,Scenario10,A
49,-2.2530164775948225,Scenario10,A
50,-2.2615476671593617,Scenario10,A
51,-2.247619718650131,Scenario10,A
0,-2.9530275724635526,Scenario10,A
1,-2.9249552970643116,Scenario10,A
2,-2.8973815722082286,Scenario10,A
3,-2.870038107989659,Scenario10,A
4,-2.8432028646523833,Scenario10,A
5,-2.816433655840017,Scenario10,A
6,-2.7901792328214916,Scenario10,A
7,-2.7643570602821725,Scenario10,A
8,-2.738803296905163,Scenario10,A
9,-2.7135257389241505,Scenario10,A
10,-2.6909356915870477,Scenario10,A
11,-2.6699421182278393,Scenario10,A
12,-2.65068399791852,Scenario10,A
13,-2.6318749578090825,Scenario10,A
14,-2.613283635999842,Scenario10,A
15,-2.595222960908306,Scenario10,A
16,-2.577480244823382,Scenario10,A
17,-2.5599869744951373,Scenario10,A
18,-2.542608870395947,Scenario10,A
19,-2.5306479806959787,Scenario10,A
20,-2.5332839819879314,Scenario10,A
21,-2.537929899215829,Scenario10,A
22,-2.5474497360982635,Scenario10,A
23,-2.5773980275414083,Scenario10,A
24,-2.6190697297938654,Scenario10,A
25,-2.658317064413155,Scenario10,A
26,-2.6951979932574495,Scenario10,A
27,-2.7290702647013187,Scenario10,A
28,-2.7596102967489413,Scenario10,A
29,-2.788821469836721,Scenario10,A
30,-2.8158807597286573,Scenario10,A
31,-2.840835473658453,Scenario10,A
32,-2.8643869896631573,Scenario10,A
33,-2.8862501344549063,Scenario10,A
34,-2.906677310172358,Scenario10,A
35,-2.927150883219375,Scenario10,A
36,-2.9472676188117353,Scenario10,A
37,-2.965505800539275,Scenario10,A
38,-2.98150192269726,Scenario10,A
39,-2.9953149707707722,Scenario10,A
40,-3.0047558086708706,Scenario10,A
41,-3.0115165426822226,Scenario10,A
42,-3.017020317080364,Scenario10,A
43,-3.0210324940400217,Scenario10,A
44,-3.014245690951149,Scenario10,A
0,-2.8899472824490307,Scenario10,A
1,-2.8507685044008078,Scenario10,A
2,-2.811814553408178,Scenario10,A
3,-2.7734314307389125,Scenario10,A
4,-2.7362021807483847,Scenario10,A
5,-2.700114143153388,Scenario10,A
6,-2.6651550272232667,Scenario10,A
7,-2.631312497912127,Scenario10,A
8,-2.59857284583802,Scenario10,A
9,-2.566922364284798,Scenario10,A
10,-2.536346952714143,Scenario10,A
11,-2.506833059740547,Scenario10,A
12,-2.478365279236765,Scenario10,A
13,-2.4509293864785078,Scenario10,A
14,-2.4245097810862672,Scenario10,A
15,-2.3990912672579006,Scenario10,A
16,-2.3746582712212096,Scenario10,A
17,-2.3511953126428446,Scenario10,A
18,-2.3286862375227835,Scenario10,A
19,-2.307115313699039,Scenario10,A
20,-2.2864666889776633,Scenario10,A
21,-2.2667238666030265,Scenario10,A
22,-2.247871114517959,Scenario10,A
23,-2.2201398819495317,Scenario10,A
24,-2.1783013408882543,Scenario10,A
25,-2.152459685225657,Scenario10,A
26,-2.137548044136576,Scenario10,A
27,-2.123421136611537,Scenario10,A
28,-2.11006366911859,Scenario10,A
29,-2.097460880945258,Scenario10,A
30,-2.0855974264562303,Scenario10,A
31,-2.074458827722723,Scenario10,A
32,-2.064031113639507,Scenario10,A
33,-2.049784563684636,Scenario10,A
34,-2.040803014883303,Scenario10,A
35,-2.0324883824669553,Scenario10,A
36,-2.0255661469541923,Scenario10,A
37,-2.0221040469485163,Scenario10,A
38,-2.02319168634678,Scenario10,A
39,-2.0284095821501404,Scenario10,A
40,-2.041743901173479,Scenario10,A
41,-2.0841759252722665,Scenario10,A
42,-2.1380438060456037,Scenario10,A
43,-2.2006215250764614,Scenario10,A
44,-2.2642149956305584,Scenario10,A
45,-2.323377001266865,Scenario10,A
46,-2.3774548109556637,Scenario10,A
47,-2.426554158302377,Scenario10,A
48,-2.471771717995673,Scenario10,A
49,-2.514207150662002,Scenario10,A
50,-2.552469798077279,Scenario10,A
51,-2.5856921935428905,Scenario10,A
52,-2.6139389150414694,Scenario10,A
53,-2.637449804973318,Scenario10,A
0,-3.213237882289527,Scenario10,A
1,-3.235284929919191,Scenario10,A
2,-3.2565477510456327,Scenario10,A
3,-3.277472487246803,Scenario10,A
4,-3.296520517734989,Scenario10,A
5,-3.311830953620695,Scenario10,A
6,-3.326772264506643,Scenario10,A
7,-3.341028134701087,Scenario10,A
8,-3.3548583675970116,Scenario10,A
9,-3.3682064693143037,Scenario10,A
10,-3.381076265559637,Scenario10,A
11,-3.3934222029586056,Scenario10,A
12,-3.4053570758734124,Scenario10,A
13,-3.416781986412409,Scenario10,A
14,-3.427848132301813,Scenario10,A
15,-3.443239128804648,Scenario10,A
16,-3.456125073300523,Scenario10,A
17,-3.469424834634552,Scenario10,A
18,-3.4839794426150363,Scenario10,A
19,-3.500365177573591,Scenario10,A
20,-3.515908614494138,Scenario10,A
21,-3.530382767681055,Scenario10,A
22,-3.5439099193538466,Scenario10,A
23,-3.556467659699651,Scenario10,A
24,-3.568088531167889,Scenario10,A
25,-3.5790508699513106,Scenario10,A
26,-3.5888021845751386,Scenario10,A
27,-3.597852565515571,Scenario10,A
28,-3.604785343388255,Scenario10,A
29,-3.6109066952644877,Scenario10,A
30,-3.6163853208505703,Scenario10,A
31,-3.621271737778018,Scenario10,A
32,-3.625655081925774,Scenario10,A
33,-3.629507859179632,Scenario10,A
34,-3.632841032058529,Scenario10,A
35,-3.6356156222230314,Scenario10,A
36,-3.637597433996523,Scenario10,A
37,-3.6260037354578163,Scenario10,A
0,-3.4736381579044737,Scenario10,A
1,-3.461972321551064,Scenario10,A
2,-3.4502703176572926,Scenario10,A
3,-3.4394708966841536,Scenario10,A
4,-3.4287145732082243,Scenario10,A
5,-3.41794722180884,Scenario10,A
6,-3.407119706666168,Scenario10,A
7,-3.396113690256385,Scenario10,A
8,-3.3847006411700367,Scenario10,A
9,-3.374636803594275,Scenario10,A
10,-3.3636721087987986,Scenario10,A
11,-3.3540056887755365,Scenario10,A
12,-3.3446952495424225,Scenario10,A
13,-3.335627877292267,Scenario10,A
14,-3.329436514941779,Scenario10,A
15,-3.3269627741572996,Scenario10,A
16,-3.325286146011227,Scenario10,A
17,-3.3241080577318507,Scenario10,A
18,-3.322444441175645,Scenario10,A
19,-3.32108795061052,Scenario10,A
20,-3.319859465881972,Scenario10,A
21,-3.318679136217126,Scenario10,A
22,-3.317633472003447,Scenario10,A
23,-3.3165455792314624,Scenario10,A
24,-3.3157756938238254,Scenario10,A
25,-3.3151188489670345,Scenario10,A
26,-3.314701831124928,Scenario10,A
27,-3.314342404428427,Scenario10,A
28,-3.3141651206273672,Scenario10,A
29,-3.3141435138519757,Scenario10,A
30,-3.3142362721499743,Scenario10,A
31,-3.3145833240395697,Scenario10,A
32,-3.315016901870656,Scenario10,A
33,-3.315645412732939,Scenario10,A
34,-3.3164714795386008,Scenario10,A
35,-3.3175219852612416,Scenario10,A
36,-3.3187376133438407,Scenario10,A
37,-3.32013200888311,Scenario10,A
38,-3.321742448577286,Scenario10,A
39,-3.323565155423134,Scenario10,A
40,-3.3257276831259293,Scenario10,A
41,-3.327470450472397,Scenario10,A
0,-3.1805710792003357,Scenario10,A
1,-3.182148652181956,Scenario10,A
2,-3.1808833031580686,Scenario10,A
3,-3.1796728883191077,Scenario10,A
4,-3.1791217292235108,Scenario10,A
5,-3.178093462586924,Scenario10,A
6,-3.1773324838106336,Scenario10,A
7,-3.173863680234741,Scenario10,A
8,-3.1715177208432594,Scenario10,A
9,-3.169070179974014,Scenario10,A
10,-3.1666617101421686,Scenario10,A
11,-3.163740762310723,Scenario10,A
12,-3.1604023344022245,Scenario10,A
13,-3.15714588539972,Scenario10,A
14,-3.1539754954386345,Scenario10,A
15,-3.1508971935243766,Scenario10,A
16,-3.1478637441333728,Scenario10,A
17,-3.1452402524390077,Scenario10,A
18,-3.1427159918652263,Scenario10,A
19,-3.14029617980701,Scenario10,A
20,-3.1379880484345617,Scenario10,A
21,-3.1358820337367197,Scenario10,A
22,-3.1339369885487725,Scenario10,A
23,-3.1322344959110833,Scenario10,A
24,-3.1305042070849813,Scenario10,A
25,-3.129018997939791,Scenario10,A
26,-3.1277395821646765,Scenario10,A
27,-3.1266644844836886,Scenario10,A
28,-3.1262421850771904,Scenario10,A
29,-3.1258287136785516,Scenario10,A
30,-3.1257590879479884,Scenario10,A
31,-3.125771156924042,Scenario10,A
32,-3.1258829315287047,Scenario10,A
33,-3.126303212858237,Scenario10,A
34,-3.127225834494305,Scenario10,A
35,-3.1285034407295234,Scenario10,A
36,-3.13000106941358,Scenario10,A
37,-3.13171506779427,Scenario10,A
38,-3.13360044070968,Scenario10,A
39,-3.13559107987737,Scenario10,A
40,-3.137677779823835,Scenario10,A
41,-3.1397711520510385,Scenario10,A
42,-3.139531951195776,Scenario10,A
0,-3.106214055232444,Scenario10,A
1,-3.075742361305374,Scenario10,A
2,-3.0455964754985194,Scenario10,A
3,-3.0157825583458937,Scenario10,A
4,-2.986307965190232,Scenario10,A
5,-2.957179339846877,Scenario10,A
6,-2.928404325780783,Scenario10,A
7,-2.9001313207129167,Scenario10,A
8,-2.8736844998783244,Scenario10,A
9,-2.848386764339658,Scenario10,A
10,-2.8243106983042408,Scenario10,A
11,-2.8010767429297214,Scenario10,A
12,-2.7783868838850343,Scenario10,A
13,-2.7558849806865955,Scenario10,A
14,-2.733939974129599,Scenario10,A
15,-2.7124174055598615,Scenario10,A
16,-2.691190421786196,Scenario10,A
17,-2.670336277790574,Scenario10,A
18,-2.6499340759690666,Scenario10,A
19,-2.6301219596416057,Scenario10,A
20,-2.610591828533499,Scenario10,A
21,-2.591297635769152,Scenario10,A
22,-2.5727990607542908,Scenario10,A
23,-2.554805402019922,Scenario10,A
24,-2.5468399455720934,Scenario10,A
25,-2.5598782272725598,Scenario10,A
26,-2.580107093487035,Scenario10,A
27,-2.6023449761012354,Scenario10,A
28,-2.631926756189734,Scenario10,A
29,-2.666580405320361,Scenario10,A
30,-2.6996866287893493,Scenario10,A
31,-2.7310705945169227,Scenario10,A
32,-2.7582487695686337,Scenario10,A
33,-2.78363533865169,Scenario10,A
34,-2.8066388067921126,Scenario10,A
35,-2.8274064433298873,Scenario10,A
36,-2.845444607133903,Scenario10,A
37,-2.8612291211443086,Scenario10,A
38,-2.8752404755741883,Scenario10,A
39,-2.8871191723984846,Scenario10,A
40,-2.897242528158404,Scenario10,A
41,-2.9056356293327448,Scenario10,A
42,-2.9125931683729833,Scenario10,A
43,-2.918102220342461,Scenario10,A
44,-2.9222507242986,Scenario10,A
45,-2.8907594585621785,Scenario10,A
0,-2.1099757156162537,Scenario10,A
1,-2.072461968838601,Scenario10,A
2,-2.0360605600849366,Scenario10,A
3,-2.0007566384736535,Scenario10,A
4,-1.966535667330171,Scenario10,A
5,-1.933382461008982,Scenario10,A
6,-1.9012817371528596,Scenario10,A
7,-1.870218121483381,Scenario10,A
8,-1.8401755310593808,Scenario10,A
9,-1.8111381972868354,Scenario10,A
10,-1.7830903124870554,Scenario10,A
11,-1.7560154358980258,Scenario10,A
12,-1.7349601249676923,Scenario10,A
13,-1.724279164603769,Scenario10,A
14,-1.714917881053748,Scenario10,A
15,-1.705769578501524,Scenario10,A
16,-1.698068067687724,Scenario10,A
17,-1.691643409636379,Scenario10,A
18,-1.6863319774075354,Scenario10,A
19,-1.684859847587873,Scenario10,A
20,-1.6860450175099562,Scenario10,A
21,-1.6887947316472873,Scenario10,A
22,-1.692109675858831,Scenario10,A
23,-1.6960329752623737,Scenario10,A
24,-1.7024355833456664,Scenario10,A
25,-1.711191469206057,Scenario10,A
26,-1.7224738564478885,Scenario10,A
27,-1.7379155083517048,Scenario10,A
28,-1.7531671873587387,Scenario10,A
29,-1.7677866603543295,Scenario10,A
30,-1.7815962279519253,Scenario10,A
31,-1.7958547309120787,Scenario10,A
32,-1.8134532369448468,Scenario10,A
33,-1.8368691102016745,Scenario10,A
34,-1.8622800859690374,Scenario10,A
35,-1.8857375982262523,Scenario10,A
36,-1.9080587522060584,Scenario10,A
37,-1.9300960101695435,Scenario10,A
38,-1.9516186497443795,Scenario10,A
39,-1.9708676094253674,Scenario10,A
40,-1.9836016725083359,Scenario10,A
41,-1.991421731584184,Scenario10,A
42,-1.9904339099099437,Scenario10,A
43,-1.983090994426755,Scenario10,A
44,-1.976733595867065,Scenario10,A
45,-1.9717070450992795,Scenario10,A
46,-1.9726211636988065,Scenario10,A
47,-1.9757649998559526,Scenario10,A
48,-1.9790700744410825,Scenario10,A
49,-1.98194278500484,Scenario10,A
50,-1.9864982526549138,Scenario10,A
51,-1.9921000116961511,Scenario10,A
52,-1.9975067479608142,Scenario10,A
53,-2.0027525455389767,Scenario10,A
54,-2.0075556969038137,Scenario10,A
55,-2.011809199435188,Scenario10,A
56,-1.9789288639216809,Scenario10,A
0,-1.639296950039121,Scenario10,A
1,-1.6083651221681352,Scenario10,A
2,-1.5784018296939548,Scenario10,A
3,-1.5535087421803118,Scenario10,A
4,-1.5487326110820865,Scenario10,A
5,-1.566394061943603,Scenario10,A
6,-1.6110375665324908,Scenario10,A
7,-1.6594238428505834,Scenario10,A
8,-1.7045329998587464,Scenario10,A
9,-1.7489281950476476,Scenario10,A
10,-1.7906276506128922,Scenario10,A
11,-1.8306677602617265,Scenario10,A
12,-1.8385880608342573,Scenario10,A
13,-1.8117782834691933,Scenario10,A
14,-1.7859222610792518,Scenario10,A
15,-1.7610029060113144,Scenario10,A
16,-1.737003800893416,Scenario10,A
17,-1.7139088057353025,Scenario10,A
18,-1.6917005318561325,Scenario10,A
19,-1.670363083033417,Scenario10,A
20,-1.64987935857582,Scenario10,A
21,-1.6302332961541621,Scenario10,A
22,-1.611408137134981,Scenario10,A
23,-1.5933875069559593,Scenario10,A
24,-1.5761555312825521,Scenario10,A
25,-1.559695468126613,Scenario10,A
26,-1.5439921435937123,Scenario10,A
27,-1.5292429164853822,Scenario10,A
28,-1.5164814813259824,Scenario10,A
29,-1.5090028508342308,Scenario10,A
30,-1.51975720163012,Scenario10,A
31,-1.5425285656295973,Scenario10,A
32,-1.5719675825263568,Scenario10,A
33,-1.603448668525946,Scenario10,A
34,-1.6359869029124559,Scenario10,A
35,-1.6671961220190346,Scenario10,A
36,-1.699341839302531,Scenario10,A
37,-1.7295206513449717,Scenario10,A
38,-1.7574173556966173,Scenario10,A
39,-1.7831670060918927,Scenario10,A
40,-1.8086493468730476,Scenario10,A
41,-1.8393560926333552,Scenario10,A
42,-1.8779415562289619,Scenario10,A
43,-1.9237192056702663,Scenario10,A
44,-1.9759437222277216,Scenario10,A
45,-2.0335097584109825,Scenario10,A
46,-2.0946680317125868,Scenario10,A
47,-2.1582711757087214,Scenario10,A
48,-2.224731033543919,Scenario10,A
49,-2.293408435757121,Scenario10,A
50,-2.3639478941656886,Scenario10,A
51,-2.4352875759230823,Scenario10,A
52,-2.506361436996523,Scenario10,A
53,-2.5771345129257073,Scenario10,A
54,-2.6474523398510357,Scenario10,A
55,-2.7156805473729984,Scenario10,A
56,-2.769486667619171,Scenario10,A
0,-2.416918359014847,Scenario10,A
1,-2.3327114096049293,Scenario10,A
2,-2.207522253306749,Scenario10,A
3,-2.082955656407786,Scenario10,A
4,-1.9554243097490387,Scenario10,A
5,-1.9078403994772932,Scenario10,A
6,-1.8772911887276518,Scenario10,A
7,-1.8477451937740295,Scenario10,A
8,-1.8191861285820448,Scenario10,A
9,-1.7915979200527552,Scenario10,A
10,-1.7649640254994647,Scenario10,A
11,-1.7392678177501706,Scenario10,A
12,-1.7144928975600022,Scenario10,A
13,-1.6906224031546415,Scenario10,A
14,-1.6676405002652066,Scenario10,A
15,-1.645529590810681,Scenario10,A
16,-1.6242741582852247,Scenario10,A
17,-1.6103996743883995,Scenario10,A
18,-1.6219052543298513,Scenario10,A
19,-1.6406304704825718,Scenario10,A
20,-1.6627783083875154,Scenario10,A
21,-1.6878156445702945,Scenario10,A
22,-1.715049004321759,Scenario10,A
23,-1.742049305710006,Scenario10,A
24,-1.7676034704390435,Scenario10,A
25,-1.7917818012102469,Scenario10,A
26,-1.8148036315643528,Scenario10,A
27,-1.8386894235293676,Scenario10,A
28,-1.8709785654845823,Scenario10,A
29,-1.907735057949008,Scenario10,A
30,-1.9419362416147852,Scenario10,A
31,-1.9739184924710322,Scenario10,A
32,-2.0037448577505574,Scenario10,A
33,-2.031537470193847,Scenario10,A
34,-2.0573594022309094,Scenario10,A
35,-2.082891270871108,Scenario10,A
36,-2.106800723587991,Scenario10,A
37,-2.1289082039945746,Scenario10,A
38,-2.1493727830517413,Scenario10,A
39,-2.168284776302693,Scenario10,A
40,-2.185777184071564,Scenario10,A
41,-2.2021843170587543,Scenario10,A
42,-2.217361330886491,Scenario10,A
43,-2.2315142391544858,Scenario10,A
44,-2.2448555095410105,Scenario10,A
45,-2.2570192907543616,Scenario10,A
46,-2.2681545534992225,Scenario10,A
47,-2.2782323670050313,Scenario10,A
48,-2.2873179316121695,Scenario10,A
49,-2.2954430882459826,Scenario10,A
50,-2.302573890409859,Scenario10,A
51,-2.308696083471147,Scenario10,A
52,-2.3137776195754793,Scenario10,A
53,-2.3160763654485397,Scenario10,A
0,-1.9299881721702947,Scenario10,A
1,-1.955855633600594,Scenario10,A
2,-1.9807703833834367,Scenario10,A
3,-2.00464325625079,Scenario10,A
4,-2.0282300769166834,Scenario10,A
5,-2.0500068621631238,Scenario10,A
6,-2.070752869493103,Scenario10,A
7,-2.0930496974591906,Scenario10,A
8,-2.118459485883644,Scenario10,A
9,-2.1478289565974764,Scenario10,A
10,-2.1800594846807186,Scenario10,A
11,-2.2115098502964834,Scenario10,A
12,-2.241796882977421,Scenario10,A
13,-2.2702270998630913,Scenario10,A
14,-2.2975157193559355,Scenario10,A
15,-2.3229317225190993,Scenario10,A
16,-2.3472419401914393,Scenario10,A
17,-2.370326726147864,Scenario10,A
