l_x,l_y,l_h,l_vx,l_vy,l_ax,L_ay,s_x,s_y,s_h,s_vx,s_vy,s_ax,s_ay,d_x,d_y,distance,l_dp,Dv,s_dp
-9.442256,14.480141,0.01131,5.903580000000002,0.0667600000000057,0.0,0.0,25.195472999999993,18.698776000000002,9.4328556,-6.963030000000003,-0.05832000000001614,0.0,0.0,-34.63772899999999,-4.218635000000003,34.89368354789539,-5.082256,-1.0594500000000018,-8.264527000000008
-8.851898,14.486817,0.011441,5.903580000000002,0.0667600000000057,0.0,0.0,24.499169999999992,18.692944,9.4332996,-6.963030000000003,-0.05832000000001614,0.0,0.0,-33.35106799999999,-4.206127,33.61525310154235,-4.491898,-1.0594500000000018,-8.960830000000009
-8.278059,14.493382,0.011572,5.738389999999995,0.06565000000000154,-1.6519000000000617,-0.011100000000041632,23.808261999999985,18.686856000000002,9.433734600000001,-6.909080000000074,-0.06087999999998317,0.5394999999992933,-0.02559999999967033,-32.086320999999984,-4.193474000000002,32.3591906497013,-3.9180590000000004,-1.1706900000000786,-9.651738000000016
-7.726444,14.499765,0.011701,5.5161500000000085,0.06382999999999583,-2.222399999999869,-0.01820000000005706,23.122506999999985,18.680519,9.4341586,-6.857550000000003,-0.06337000000002035,0.5153000000007069,-0.024900000000371847,-30.848950999999985,-4.180754,31.13095696905118,-3.3664439999999995,-1.3413999999999948,-10.337493000000016
-7.199819,14.505927,0.011828,5.266250000000001,0.06161999999999779,-2.4990000000000734,-0.02209999999998047,22.44177799999997,18.67395,9.4345596,-6.807290000000137,-0.06568999999998937,0.5025999999986652,-0.023199999999690135,-29.64159699999997,-4.168023000000002,29.93320377839526,-2.8398189999999994,-1.5410400000001356,-11.01822200000003
-6.69825,14.511859,0.011952,5.015689999999999,0.05931999999999604,-2.505600000000019,-0.02300000000001745,21.765952999999996,18.667171,9.4349286,-6.758249999999748,-0.06779000000001645,0.4904000000038877,-0.021000000000270802,-28.464202999999998,-4.155312,28.76590812476729,-2.3382499999999995,-1.7425599999997488,-11.694047000000005
-6.219317,14.517582,0.012073,4.789329999999996,0.05723000000001477,-2.2636000000000323,-0.020899999999812735,21.09491299999999,18.660199000000002,9.4352856,-6.71040000000005,-0.06971999999997536,0.4784999999969841,-0.01929999999958909,-27.31422999999999,-4.142617000000001,27.626589295488298,-1.8593169999999999,-1.9210700000000536,-12.36508700000001
-5.759915,14.523129,0.012193,4.594019999999999,0.055469999999999686,-1.9530999999999743,-0.01760000000015083,20.428540999999996,18.653038000000002,9.4356466,-6.663719999999955,-0.07160999999999973,0.46680000000094424,-0.018900000000243722,-26.188455999999995,-4.129909000000001,26.512098672346117,-1.399915,-2.0696999999999566,-13.031459000000005
-5.317402,14.528524,0.012311,4.425129999999999,0.05395000000000039,-1.6888999999999932,-0.015199999999992997,19.76672499999998,18.645682,9.4360126,-6.6181600000001595,-0.07356000000001472,0.45559999999795764,-0.019500000000149953,-25.08412699999998,-4.117158,25.419764305537768,-0.9574020000000001,-2.19303000000016,-13.693275000000021
-4.889633,14.53379,0.012429,4.277690000000005,0.05265999999998883,-1.4743999999999424,-0.012900000000115597,19.109351999999973,18.638141,9.4363686,-6.573730000000069,-0.07540999999999798,0.44430000000090786,-0.01849999999983254,-23.998984999999973,-4.104351000000001,24.347422413089742,-0.5296329999999996,-2.2960400000000636,-14.350648000000028
